Filename: 4.17_0000_0001.csv
SampleFlowRate = 6.833 ml/s
Trigger Threshold 2 = 4
Trigger Threshold 1 = 4
Max Meas Per o/p File = 30000
Auto Forced Trig Enabled = 0
Auto Forced Trig Part Rate Thresh = 2 p/s
Peak Offset FL2_SctPk = 0 (0x0)
Integrator Offset FL2_SctInt = 69 (0x45)
Integrator Offset FL1_280 = 69 (0x45)
Integrator Offset FL2_280 = 65 (0x41)
Integrator Offset FL2_370 = 0 (0x0)
Peak Offset Pwr_280 = 0 (0x0)
Peak Offset Pwr_370 = 0 (0x0)
Peak Offset SCAT_EL1 = 0 (0x0)
Peak Offset SCAT_EL2 = 0 (0x0)
Peak Offset SCAT_EL3 = 0 (0x0)
Peak Offset SCAT_EL4 = 0 (0x0)
Scat El 2 gradient = 0.8704
Scat El 2 offset = 1.6147
Scat El 3 gradient = 1.2505
Scat El 3 offset = 1.2597
Scat El 4 gradient = 1.1150
Scat El 4 offset = 5.5825
Minimum Mean ScatEL = 20
Glitch time = 30 (0.63us)
Scat integrate pulse = 300 (6.25us)
XE1 trigger delay = 471 (9.81us)
XE1 integrate delay = 160 (3.33us)
XE1 integrate pulse = 288 (6.00us)
XE2 trigger delay = 551 (11.48us)
XE2 integrate delay = 130 (2.71us)
XE2 integrate pulse = 336 (7.00us)
Recharge time = 18000 (6000us)
FL1 280nm offset = 0
FL2 280nm offset = 0
FL2 370nm offset = 0
Start Date/Time: 01/07/2014 11:13:58
Time,FL2 SctInt,Scat_EL1,Scat_EL2,Scat_EL3,Scat_EL4,FL2 SctPk,FL1_280,FL2_280,Pwr_280,FL2_370,Pwr_370,TOF,TPCT2,Size,AF,TotalT2,MeasT2,FT,TPCT1,TotalT1
2407,73,3,4,4,6,11,8,0,2047,-31,1822,3.021,1,0.4353,5.942,0.4,0.4,2,0,0.1642
2563,1320,97,78,87,89,184,2116,24,2047,-20,1802,5.771,1,4.94,11.07,0.4,0.4,2,1,0.1642
2646,975,109,94,97,104,166,2116,19,2047,-18,1851,4.792,1,4.571,11.75,1.2,1.2,2,0,0.7881
2701,516,109,90,118,117,90,1660,5,2047,-33,1771,4.167,1,2.956,4.71,1.2,1.2,2,0,0.7881
2743,115,9,9,11,13,26,18,-4,2047,-31,1838,2.958,1,1.141,4.148,1.2,1.2,2,0,0.7881
2818,125,23,15,29,31,25,6,-5,2047,-35,1780,3.167,1,1.095,7.262,1.2,1.2,2,4,0.7881
2828,96,6,48,31,40,25,9,-4,2047,-34,1839,2.667,1,1.095,35.24,2.8,2.4,2,0,1.713
2925,802,114,89,106,109,154,2116,25,2047,-26,1764,4.188,2,4.323,9.568,2.8,2.4,2,0,1.713
2960,36,9,10,12,13,14,10,-2,2047,-37,1793,1.479,1,0.5738,4.966,2.8,2.4,2,0,1.713
2976,21,6,6,7,9,14,7,1,2047,-28,1781,1.063,1,0.5738,5.364,2.8,2.4,2,0,1.713
2998,776,110,86,108,87,167,2116,21,2047,-22,1782,3.979,1,4.592,12.55,2.8,2.4,2,0,1.713
3017,7,4,4,6,9,7,18,-3,2047,-42,1771,0.7292,2,0.2581,2.449,2.8,2.4,2,5,1.713
3090,688,111,91,108,111,140,2116,24,2047,-27,1761,3.792,1,4.029,8.194,3.8,3.4,2,0,2.151
3125,266,26,26,35,31,62,2,-1,2047,-38,1786,3.083,1,2.336,4.853,3.8,3.4,2,0,2.151
3146,8,5,6,9,11,9,3,-4,2047,-43,1806,0.7708,1,0.3454,2.362,3.8,3.4,2,0,2.151
3181,60,7,7,7,7,22,8,-5,2047,-27,1786,2.063,1,0.9533,10.04,3.8,3.4,2,0,2.151
3222,670,112,90,105,104,155,2116,21,2047,-13,1833,3.438,1,4.343,9.968,3.8,3.4,2,3,2.151
3240,224,14,11,17,19,48,13,0,2047,-40,1760,3.25,1,1.979,3.538,6,5.2,2,0,4.001
3254,109,40,41,37,55,37,-3,0,2047,-39,1755,2.583,1,1.612,11.26,6,5.2,2,0,4.001
3305,330,103,91,111,115,81,17,-3,2047,-35,1810,3.313,1,2.759,5.361,6,5.2,2,0,4.001
3331,1470,51,95,53,109,278,10,1,2047,-31,1805,4.396,3,6.787,29.75,6,5.2,2,0,4.001
3355,622,106,90,100,101,154,2116,20,2047,-28,1827,3.5,1,4.323,10.05,6,5.2,2,0,4.001
3404,32,4,5,5,6,17,9,0,2047,-39,1782,1.417,1,0.7153,7.689,6,5.2,2,0,4.001
3411,638,75,59,79,88,149,1831,18,2047,-14,1830,3.604,1,4.218,5.964,6,5.2,2,0,4.001
3419,10,4,5,5,7,8,2,-2,2047,-39,1835,0.875,1,0.3014,6.025,6,5.2,2,0,4.001
3428,712,115,92,109,110,194,2116,19,2047,-34,1801,3.521,1,5.143,9.236,6,5.2,2,12,4.001
3435,409,91,77,103,103,104,1195,9,2047,-24,1804,3.438,2,3.261,3.305,6.6,5.6,2,0,4.293
3469,668,109,92,100,111,153,2116,24,2047,-6,1757,3.729,1,4.302,9.948,6.6,5.6,2,2,4.293
3640,658,115,92,101,100,175,2116,18,2047,-28,1731,3.292,1,4.757,12.52,10,7.8,2,0,7.238
3667,20,9,9,11,12,11,4,-1,2047,-32,1764,1.188,3,0.4353,5.459,10,7.8,2,0,7.238
3684,667,108,87,106,97,170,2116,29,2047,-26,1832,3.479,3,4.654,9.687,10,7.8,2,0,7.238
3712,627,113,83,104,98,166,2116,27,2047,-17,1791,3.229,3,4.571,11.2,10,7.8,2,0,7.238
3730,662,113,89,95,98,168,2116,16,2047,-26,1810,3.375,1,4.613,13.36,10,7.8,2,0,7.238
3768,14,9,6,9,10,11,12,3,2047,-38,1775,0.8333,1,0.4353,7.798,10,7.8,2,0,7.238
3775,667,99,85,100,92,179,2116,25,2047,-35,1813,3.292,1,4.838,9.219,10,7.8,2,0,7.238
3792,438,92,77,96,95,106,1640,17,2047,-24,1815,3.125,1,3.304,6.156,10,7.8,2,0,7.238
3798,647,111,90,106,103,164,2116,13,2047,-28,1792,3.396,1,4.53,9.648,10,7.8,2,0,7.238
3812,238,43,58,41,70,54,20,-1,2047,-47,1796,3.292,1,2.142,18.64,10,7.8,2,0,7.238
3826,214,24,24,33,40,65,27,4,2047,-29,1802,2.75,1,2.404,5.14,10,7.8,2,16,7.238
3875,55,13,13,16,13,18,8,-1,2047,-34,1763,2.125,1,0.7629,9.398,12.4,9.6,2,0,8.968
3888,586,109,91,99,97,155,2116,23,2047,-26,1792,3.146,1,4.343,11.86,12.4,9.6,2,0,8.968
3897,53,15,15,19,21,14,6,-2,2047,-34,1862,1.729,2,0.5738,2.665,12.4,9.6,2,0,8.968
3924,14,8,8,12,15,9,1,-4,2047,-29,1808,1.146,1,0.3454,0.9763,12.4,9.6,2,0,8.968
3938,598,104,86,97,103,148,2116,19,2047,-23,1821,3.146,1,4.197,9.451,12.4,9.6,2,0,8.968
3959,285,14,8,20,22,68,3,-2,2047,-42,1825,3.333,3,2.471,8.958,12.4,9.6,2,0,8.968
3979,21,10,8,8,10,9,12,-4,2047,-39,1799,0.6875,1,0.3454,9.417,12.4,9.6,2,0,8.968
4011,26,3,5,7,5,12,4,-2,2047,-44,1829,1.313,1,0.481,9.697,12.4,9.6,2,0,8.968
4018,668,107,85,95,95,178,2116,27,2047,-24,1824,3.208,1,4.818,11.79,12.4,9.6,2,12,8.968
4062,678,111,81,100,97,193,2116,34,2047,-22,1784,3.313,1,5.123,11.46,14.2,11.2,2,0,9.921
4085,90,4,4,3,9,24,12,-8,2047,-30,1790,2.875,2,1.048,4.545,14.2,11.2,2,0,9.921
4133,625,105,91,104,99,161,2116,26,2047,-28,1784,3.188,1,4.468,9.482,14.2,11.2,2,0,9.921
4162,306,60,74,127,91,83,17,2,2047,-34,1822,2.854,1,2.803,14.5,14.2,11.2,2,0,9.921
4194,335,47,77,28,129,92,33,5,2047,-26,1789,2.854,1,3,39.96,14.2,11.2,2,0,9.921
4212,131,7,10,16,17,39,6,-4,2047,-35,1794,2.458,1,1.686,5.504,14.2,11.2,2,0,9.921
4220,154,21,21,14,34,33,12,4,2047,-34,1775,2.833,1,1.452,14.51,14.2,11.2,2,0,9.921
4235,15,9,6,9,9,16,10,-1,2047,-36,1812,0.6458,1,0.6679,9.015,14.2,11.2,2,8,9.921
4264,229,23,29,99,77,63,77,113,2047,39,1759,3.188,1,2.359,32.56,15.8,12.6,2,0,12.08
4286,558,110,91,104,105,149,2116,24,2047,-33,1802,3.333,1,4.218,9.626,15.8,12.6,2,0,12.08
4297,42,4,5,6,8,16,10,3,2047,-32,1815,1.833,1,0.6679,4.369,15.8,12.6,2,0,12.08
4312,28,4,4,5,8,16,9,-5,2047,-44,1750,1.313,1,0.6679,3.75,15.8,12.6,2,0,12.08
4336,79,18,15,26,27,25,10,-4,2047,-32,1786,2.083,2,1.095,3.82,15.8,12.6,2,0,12.08
4360,600,105,84,90,92,167,2116,16,2047,-32,1801,3.208,1,4.592,12.84,15.8,12.6,2,0,12.08
4385,595,109,87,102,103,153,2116,28,2047,-15,1745,3.271,1,4.302,9.668,15.8,12.6,2,7,12.08
4525,38,6,7,10,11,16,84,-3,2047,-26,1813,1.813,1,0.6679,3.668,16.8,13.6,2,0,12.38
4538,18,6,7,5,8,14,8,-2,2047,-29,1755,1.125,1,0.5738,8.557,16.8,13.6,2,0,12.38
4588,638,107,91,99,103,160,2116,24,2047,-31,1768,3.292,1,4.447,10.4,16.8,13.6,2,0,12.38
4600,624,111,88,105,100,167,2116,16,2047,-24,1796,3.208,1,4.592,10.2,16.8,13.6,2,0,12.38
4645,118,18,16,22,23,33,11,-2,2047,-38,1809,2.563,1,1.452,2.89,16.8,13.6,2,5,12.38
4701,631,117,96,113,109,178,2116,19,2047,-24,1773,3.292,1,4.818,9.475,17.8,14.4,2,0,12.64
4764,183,6,4,5,10,51,4,-7,2047,-35,1774,2.792,1,2.063,5.486,17.8,14.4,2,0,12.64
4783,55,17,15,19,20,19,7,-1,2047,-32,1810,2.021,1,0.8105,5.033,17.8,14.4,2,0,12.64
4837,562,109,95,103,109,147,2116,22,2047,-34,1751,3.354,2,4.176,9.799,17.8,14.4,2,4,12.64
4953,562,108,88,101,92,160,2116,19,2047,-17,1810,3.146,1,4.447,11.84,18.6,15.2,2,0,14.38
4989,69,8,9,11,11,26,8,-1,2047,-39,1790,1.938,1,1.141,6.269,18.6,15.2,2,0,14.38
5027,505,80,68,80,72,135,2116,21,2047,-27,1749,3.063,1,3.924,9.923,18.6,15.2,2,0,14.38
5067,617,52,73,81,54,155,24,6,2047,-33,1738,3.375,1,4.343,18.35,18.6,15.2,2,4,14.38
5076,32,5,8,8,8,15,8,6,2047,-29,1819,1.354,1,0.6207,8.58,19.4,15.8,2,0,14.83
5120,35,9,10,13,13,13,13,-4,2047,-33,1812,1.75,1,0.5272,5.085,19.4,15.8,2,0,14.83
5162,36,33,55,36,57,16,4,-2,2047,-41,1786,1.25,2,0.6679,21.15,19.4,15.8,2,4,14.83
5306,646,105,90,101,110,172,2116,18,2047,-25,1797,3.354,1,4.695,8.594,20.2,16.6,2,0,14.72
5404,32,4,5,8,10,15,7,-3,2047,-37,1774,1.271,1,0.6207,2.603,20.2,16.6,2,0,14.72
5450,26,9,9,11,13,14,13,-2,2047,-38,1769,1.271,1,0.5738,4.148,20.2,16.6,2,0,14.72
5474,86,19,14,24,23,25,2,-1,2047,-33,1772,2.188,1,1.095,5.199,20.2,16.6,2,4,14.72
5524,3,6,6,6,9,8,21,-2,2047,-31,1807,0.75,1,0.3014,5.705,20.8,17.2,2,0,14.64
5539,31,7,5,6,8,12,10,2,2047,-29,1771,1.563,1,0.481,8.05,20.8,17.2,2,0,14.64
5648,212,49,32,66,57,63,82,8,2047,-36,1838,2.604,1,2.359,9.547,20.8,17.2,2,2,14.64
5721,262,41,69,69,84,66,80,26,2047,-18,1824,2.938,1,2.427,17.59,21.6,18,2,0,14.82
5769,24,4,3,4,7,13,11,7,2047,-32,1791,1.313,1,0.5272,5.388,21.6,18,2,0,14.82
5781,30,3,6,5,5,15,11,-1,2047,-39,1814,1.188,1,0.6207,10.19,21.6,18,2,0,14.82
5840,613,102,89,97,97,180,2116,18,2047,-33,1763,3.167,1,4.859,10.34,21.6,18,2,4,14.82
5916,8,6,6,6,8,9,10,-1,2047,-40,1773,0.6667,1,0.3454,7.067,22.4,18.8,2,0,14.92
5992,621,106,88,96,95,170,2116,11,2047,-35,1747,3.167,1,4.654,11.69,22.4,18.8,2,0,14.92
6002,33,5,7,8,9,13,9,1,2047,-38,1751,1.583,1,0.5272,5.76,22.4,18.8,2,0,14.92
6062,36,5,4,4,6,18,7,-1,2047,-31,1815,1.542,1,0.7629,8.363,22.4,18.8,2,4,14.92
6134,61,19,16,22,24,19,1,7,2047,-39,1771,1.958,1,0.8105,3.202,23.6,20,2,0,15.1
6155,26,8,7,11,15,13,5,10,2047,-35,1735,1.667,1,0.5272,2.253,23.6,20,2,0,15.1
6177,466,106,89,123,114,121,1202,8,2047,-37,1819,3.188,1,3.626,3.113,23.6,20,2,0,15.1
6222,47,7,5,7,10,14,-2,1,2047,-42,1789,1.875,1,0.5738,5.53,23.6,20,2,0,15.1
6241,41,28,29,30,34,18,9,-4,2047,-39,1811,1.583,1,0.7629,7.209,23.6,20,2,0,15.1
6249,117,12,9,13,13,35,8,1,2047,-34,1760,2.5,1,1.534,7.245,23.6,20,2,4,15.1
6439,603,105,85,90,88,174,2116,23,2047,-29,1787,3.104,1,4.736,13.76,24.2,20.6,2,0,14.9
6483,21,6,6,5,8,13,6,6,2047,-36,1773,1.292,1,0.5272,7.538,24.2,20.6,2,0,14.9
6544,57,16,14,21,21,26,12,4,2047,-37,1736,1.792,1,1.141,3.042,24.2,20.6,2,3,14.9
6563,571,102,95,93,104,162,2116,14,2047,-24,1746,3.083,1,4.489,11.88,26.4,22,2,0,15.5
6571,585,113,84,99,107,154,2116,19,2047,-34,1719,3.167,2,4.323,11.04,26.4,22,2,0,15.5
6611,40,9,9,12,13,22,3,2,2047,-41,1770,1.688,2,0.9533,4.119,26.4,22,2,0,15.5
6625,11,6,8,11,8,11,9,0,2047,-34,1823,0.7708,1,0.4353,9.511,26.4,22,2,0,15.5
6641,859,49,43,52,56,222,2116,35,2047,-22,1789,3.313,1,5.703,5.125,26.4,22,2,0,15.5
6657,555,93,96,94,94,170,2116,26,2047,-28,1755,3,1,4.654,12.49,26.4,22,2,0,15.5
6711,756,115,81,105,95,178,2116,19,2047,-23,1811,3.646,3,4.818,12.36,26.4,22,2,7,15.5
6775,12,5,4,6,7,9,20,-4,2047,-26,1752,0.6458,1,0.3454,6.716,28.4,23.4,2,0,16.44
6797,37,11,9,13,16,14,1,-1,2047,-38,1795,1.75,2,0.5738,3.174,28.4,23.4,2,0,16.44
6806,607,115,97,117,120,151,2116,22,2047,-41,1748,3.333,1,4.26,6.859,28.4,23.4,2,0,16.44
6820,660,113,94,109,110,170,2116,39,2047,-14,1758,3.375,1,4.654,8.925,28.4,23.4,2,0,16.44
6836,610,110,95,98,107,160,2116,24,2047,-24,1777,3.167,1,4.447,11.52,28.4,23.4,2,0,16.44
6933,671,111,90,106,105,165,2116,20,2047,-24,1784,3.438,2,4.551,9.32,28.4,23.4,2,0,16.44
6956,660,117,88,105,94,187,2116,26,2047,-32,1741,3.167,2,5.001,13.24,28.4,23.4,2,11,16.44
6988,659,105,80,104,105,168,2116,17,2047,-24,1753,3.438,2,4.613,7.563,32.2,25.6,2,0,18.26
7001,622,112,93,100,101,156,2116,31,2047,-34,1808,3.438,2,4.364,11.95,32.2,25.6,2,0,18.26
7011,602,105,89,93,107,167,2116,23,2047,-29,1778,3.188,3,4.592,10.93,32.2,25.6,2,0,18.26
7021,559,110,93,97,109,152,2116,25,2047,-20,1825,3.167,1,4.281,11.28,32.2,25.6,2,0,18.26
7030,594,111,90,108,107,154,2116,10,2047,-33,1820,3.313,1,4.323,8.586,32.2,25.6,2,0,18.26
7041,624,112,101,106,116,173,2116,25,2047,-30,1764,3.354,2,4.716,10.1,32.2,25.6,2,0,18.26
7062,585,108,93,97,95,154,2116,22,2047,-18,1754,3.125,2,4.323,12.83,32.2,25.6,2,0,18.26
7074,534,78,66,80,82,127,1899,16,2047,-28,1764,3.375,1,3.754,6.448,32.2,25.6,2,0,18.26
7152,566,111,92,99,112,145,2116,21,2047,-36,1781,3.271,2,4.134,10.6,32.2,25.6,2,0,18.26
7168,540,105,90,102,94,139,2116,26,2047,-29,1825,3.167,2,4.008,10.77,32.2,25.6,2,0,18.26
7182,17,8,7,13,10,13,3,-2,2047,-39,1837,1.021,1,0.5272,8.082,32.2,25.6,2,18,18.26
7259,640,110,81,97,97,164,2116,28,2047,-21,1751,3.292,1,4.53,11.73,34,27,2,0,19.16
7270,660,100,89,96,104,179,2116,26,2047,-28,1803,3.208,2,4.838,9.287,34,27,2,0,19.16
7332,636,109,95,97,109,163,2116,24,2047,-32,1787,3.458,2,4.509,11.41,34,27,2,0,19.16
7347,38,6,6,7,8,17,83,1,2047,-42,1740,1.646,1,0.7153,6.88,34,27,2,0,19.16
7358,631,110,94,97,113,158,2116,31,2047,-11,1774,3.396,1,4.406,11.19,34,27,2,0,19.16
7377,46,8,7,10,15,12,10,-8,2047,-37,1779,2.167,1,0.481,2.519,34,27,2,0,19.16
7382,695,117,89,107,105,171,2116,23,2047,-36,1735,3.479,1,4.674,10.78,34,27,2,11,19.16
7437,652,112,81,95,102,157,2116,20,2047,-37,1801,3.208,2,4.385,12.19,35.4,27.8,2,0,21.35
7482,596,107,92,96,98,153,2116,16,2047,-25,1750,3.063,1,4.302,12.09,35.4,27.8,2,0,21.35
7528,29,8,8,13,12,14,10,1,2047,-36,1780,1.271,2,0.5738,5.248,35.4,27.8,2,0,21.35
7542,576,107,93,103,112,144,2116,25,2047,-29,1784,3.292,1,4.113,8.805,35.4,27.8,2,0,21.35
7557,46,4,4,4,7,17,13,1,2047,-32,1791,1.333,1,0.7153,5.474,35.4,27.8,2,0,21.35
7589,18,2,4,5,6,12,22,-3,2047,-44,1753,1.188,2,0.481,5.734,35.4,27.8,2,7,21.35
7640,654,110,84,106,95,170,2116,22,2047,-29,1768,3.271,1,4.654,10.54,36.2,28.2,2,0,31.95
7664,662,117,88,109,102,184,2116,18,2047,-28,1813,3.229,1,4.94,10.91,36.2,28.2,2,0,31.95
7677,1137,60,65,57,66,303,68,146,2047,41,1788,3.583,2,7.256,13.44,36.2,28.2,2,0,31.95
7731,21,7,8,8,13,9,19,-4,2047,-41,1811,1.104,1,0.3454,3.503,36.2,28.2,2,0,31.95
7744,566,115,93,107,102,157,2116,16,2047,-34,1771,3.167,2,4.385,11.04,36.2,28.2,2,0,31.95
7822,114,20,20,23,26,30,7,2,2047,-39,1753,2.667,1,1.322,4.37,36.2,28.2,2,7,31.95
7874,616,108,85,93,99,164,2116,25,2047,-22,1805,3.208,1,4.53,11.95,36.6,28.6,2,0,33.03
7888,41,10,11,14,15,17,15,1,2047,-35,1789,1.417,3,0.7153,3.855,36.6,28.6,2,0,33.03
7916,37,10,10,12,13,11,4,-5,2047,-33,1798,1.75,1,0.4353,5.539,36.6,28.6,2,0,33.03
7967,158,36,58,78,95,50,13,-3,2047,-37,1793,2.375,1,2.035,19.52,36.6,28.6,2,0,33.03
7987,34,4,6,7,7,14,14,-4,2047,-45,1807,1.125,1,0.5738,7.333,36.6,28.6,2,0,33.03
8002,625,111,82,99,97,170,2116,20,2047,-26,1782,3.229,1,4.654,11.65,36.6,28.6,2,0,33.03
8039,622,108,92,101,107,151,2116,26,2047,-35,1761,3.375,1,4.26,9.795,36.6,28.6,2,0,33.03
8055,792,110,82,102,102,197,2116,14,2047,-31,1825,3.625,1,5.204,9.946,36.6,28.6,2,9,33.03
8064,571,105,84,99,106,152,2116,25,2047,-22,1842,3.063,1,4.281,8.74,39.4,30.2,2,0,35.45
8075,403,81,70,87,88,107,1600,44,2047,-32,1778,3.083,1,3.326,5.175,39.4,30.2,2,0,35.45
8081,36,13,11,14,17,16,2,4,2047,-39,1734,1.833,1,0.6679,4.244,39.4,30.2,2,0,35.45
8098,619,113,97,103,113,144,2116,28,2047,-27,1793,3.5,1,4.113,10.55,39.4,30.2,2,0,35.45
8106,543,106,90,94,97,149,2116,19,2047,-34,1798,3.083,1,4.218,12.15,39.4,30.2,2,0,35.45
8118,12,7,8,10,10,12,11,-6,2047,-36,1781,1,2,0.481,6.26,39.4,30.2,2,0,35.45
8140,23,7,5,11,13,12,10,2,2047,-39,1789,1.354,2,0.481,4.953,39.4,30.2,2,0,35.45
8165,313,72,63,87,81,97,1203,7,2047,-41,1803,2.854,1,3.109,2.177,39.4,30.2,2,0,35.45
8177,617,109,93,98,107,158,2116,36,2047,-10,1770,3.375,1,4.406,10.97,39.4,30.2,2,0,35.45
8195,14,5,7,7,10,9,6,-3,2047,-41,1766,0.7708,1,0.3454,4.466,39.4,30.2,2,0,35.45
8207,111,16,18,22,25,32,6,-6,2047,-33,1799,2.604,3,1.409,3.228,39.4,30.2,2,0,35.45
8215,32,11,9,13,13,11,7,-5,2047,-32,1789,1.604,3,0.4353,6.117,39.4,30.2,2,0,35.45
8236,635,112,90,102,99,172,2116,16,2047,-22,1783,3.25,1,4.695,11.47,39.4,30.2,2,17,35.45
8391,546,103,90,95,103,162,2116,17,2047,-33,1776,3.042,1,4.489,10.43,38.2,29.4,2,0,34.44
8435,14,5,6,8,7,8,10,-3,2047,-39,1785,0.7917,1,0.3014,8.018,38.2,29.4,2,0,34.44
8442,71,7,7,8,9,19,93,-3,2047,-37,1801,2.625,1,0.8105,6.88,38.2,29.4,2,0,34.44
8456,25,9,7,10,11,9,1,-2,2047,-40,1777,1.396,2,0.3454,6.282,38.2,29.4,2,0,34.44
8468,19,4,4,4,6,12,3,0,2047,-36,1793,0.8958,1,0.481,7.015,38.2,29.4,2,0,34.44
8499,33,9,7,11,12,18,5,-5,2047,-38,1749,1.354,1,0.7629,5.206,38.2,29.4,2,0,34.44
8509,696,104,81,105,101,170,2116,24,2047,-29,1724,3.583,1,4.654,7.467,38.2,29.4,2,5,34.44
8517,201,14,82,19,139,53,11,4,2047,-38,1794,2.833,1,2.117,58.67,38.4,30.4,2,0,34.97
8531,35,10,11,14,15,16,3,-4,2047,-34,1800,1.542,1,0.6679,3.855,38.4,30.4,2,0,34.97
8552,7,6,5,7,9,11,6,-3,2047,-41,1771,0.8125,2,0.4353,5.13,38.4,30.4,2,0,34.97
8581,592,107,91,91,103,168,2116,17,2047,-13,1753,3.188,1,4.613,12.55,38.4,30.4,2,0,34.97
8600,613,111,92,104,104,154,2116,14,2047,-33,1775,3.375,1,4.323,10.17,38.4,30.4,2,0,34.97
8643,551,110,88,100,102,151,2116,14,2047,-30,1755,3.104,1,4.26,10.65,38.4,30.4,2,0,34.97
8662,696,109,94,97,110,163,2116,19,2047,-36,1798,3.438,1,4.509,11.16,38.4,30.4,2,0,34.97
8708,22,8,8,13,14,10,15,-1,2047,-40,1801,1.313,2,0.3901,2.831,38.4,30.4,2,0,34.97
8719,27,7,9,12,14,15,12,-4,2047,-32,1790,1.375,1,0.6207,2.826,38.4,30.4,2,0,34.97
8730,649,99,85,92,91,179,2116,37,2047,-25,1781,3.188,1,4.838,11.14,38.4,30.4,2,11,34.97
8739,21,9,6,12,14,14,10,-2,2047,-35,1785,1.083,1,0.5738,5.2,38,30.2,2,0,34.66
8779,37,8,7,10,10,16,11,3,2047,-39,1745,1.188,2,0.6679,6.483,38,30.2,2,0,34.66
8826,555,116,92,110,105,141,2116,8,2047,-26,1772,3.083,2,4.05,10.08,38,30.2,2,0,34.66
8847,14,9,9,10,12,15,14,-1,2047,-25,1752,0.9375,1,0.6207,5.677,38,30.2,2,0,34.66
8865,632,108,81,99,99,156,2116,16,2047,-33,1803,3.333,1,4.364,10.34,38,30.2,2,0,34.66
8872,30,10,10,13,13,16,6,1,2047,-33,1770,1.313,1,0.6679,5.529,38,30.2,2,0,34.66
8880,46,10,7,14,13,19,8,-6,2047,-37,1742,1.667,1,0.8105,6.625,38,30.2,2,0,34.66
8891,615,110,84,102,94,172,2116,22,2047,-36,1740,3.208,1,4.695,11.41,38,30.2,2,0,34.66
8910,100,12,14,17,24,30,8,-6,2047,-35,1809,2.292,1,1.322,4.78,38,30.2,2,0,34.66
8947,594,111,94,102,106,153,2116,23,2047,-30,1811,3.333,1,4.302,10.65,38,30.2,2,0,34.66
8962,8,8,13,13,13,13,9,-4,2047,-36,1771,0.7292,1,0.5272,9.108,38,30.2,2,10,34.66
8981,650,112,90,105,108,155,2116,24,2047,-21,1787,3.417,1,4.343,9.415,38,30.2,2,0,33.52
9018,542,109,97,126,121,117,1555,10,2047,-32,1823,3.521,1,3.541,3.418,38,30.2,2,0,33.52
9026,23,13,8,13,16,16,14,-3,2047,-40,1781,1.271,2,0.6679,6.87,38,30.2,2,0,33.52
9043,590,114,92,107,108,163,2116,13,2047,-35,1779,3.167,1,4.509,9.675,38,30.2,2,0,33.52
9077,66,8,7,9,12,23,8,0,2047,-37,1758,2,1,1.001,3.913,38,30.2,2,0,33.52
9160,31,12,6,13,13,18,-14,-15,1,-81,1,1.5,1,0.7629,9.464,38,30.2,2,0,33.52
9179,54,14,15,21,21,16,12,-7,2047,-27,1800,2,1,0.6679,2.922,38,30.2,2,7,33.52
9219,49,4,4,6,8,18,9,-5,2047,-38,1766,1.833,1,0.7629,3.926,38.4,30.2,2,0,34.25
9234,14,7,10,12,11,12,1,-2,2047,-34,1798,0.7708,1,0.481,7.503,38.4,30.2,2,0,34.25
9275,14,9,7,10,12,13,11,-2,2047,-35,1746,0.8958,1,0.5272,5.137,38.4,30.2,2,0,34.25
9284,427,106,91,121,124,118,1359,4,2047,-31,1803,3.125,2,3.562,3.443,38.4,30.2,2,0,34.25
9306,534,101,88,103,105,123,1524,10,2047,-43,1773,3.292,1,3.669,7.248,38.4,30.2,2,0,34.25
9327,705,112,87,103,105,182,2116,20,2047,-25,1801,3.438,1,4.9,10.05,38.4,30.2,2,0,34.25
9351,324,76,64,85,86,86,1193,10,2047,-40,1812,2.854,3,2.869,3.595,38.4,30.2,2,0,34.25
9359,376,83,79,101,98,101,1131,11,2047,-32,1754,2.958,1,3.196,3.399,38.4,30.2,2,0,34.25
9366,24,5,5,6,7,12,8,-3,2047,-41,1771,1.25,1,0.481,6.912,38.4,30.2,2,0,34.25
9376,25,9,7,11,11,11,13,14,2047,-39,1751,1.208,1,0.4353,6.422,38.4,30.2,2,0,34.25
9403,600,113,94,100,113,139,2116,28,2047,-16,1783,3.292,1,4.008,10.94,38.4,30.2,2,12,34.25
9455,610,96,89,98,102,172,2116,30,2047,-26,1753,3.229,1,4.695,8.29,39.4,31,2,0,33.68
9474,29,7,6,10,15,14,9,-9,2047,-36,1809,1.354,2,0.5738,3.49,39.4,31,2,0,33.68
9556,631,108,94,103,110,157,2116,24,2047,-23,1767,3.396,1,4.385,9.321,39.4,31,2,0,33.68
9575,593,103,83,95,99,163,2116,17,2047,-25,1797,3.104,1,4.509,9.823,39.4,31,2,0,33.68
9586,17,10,10,13,15,13,6,5,2047,-42,1790,1.083,1,0.5272,2.897,39.4,31,2,0,33.68
9626,28,4,2,3,6,11,6,8,2047,-35,1787,1.75,1,0.4353,7.352,39.4,31,2,0,33.68
9634,49,14,12,16,19,19,7,-3,2047,-33,1754,1.708,1,0.8105,3.173,39.4,31,2,0,33.68
9641,588,110,90,107,107,177,2116,16,2047,-46,1775,3.083,1,4.798,8.535,39.4,31,2,7,33.68
9679,15,8,6,10,11,10,10,-2,2047,-36,1772,1.083,1,0.3901,5.42,39.6,31.4,2,0,34.26
9736,5,6,6,8,8,9,19,-4,2047,-27,1803,0.6667,1,0.3454,6.986,39.6,31.4,2,0,34.26
